,Unnamed: 0,origin_airport,destination_airport,emissions,class,usd_amount
0,,LGA,BOS,0.08,Coach,260.905
1,,BOS,LGA,0.08,Coach,260.905
2,,LGA,DCA,0.1,Coach,268.4
3,,DCA,LGA,0.1,Coach,268.4
4,,BOS,EWR,0.09,Coach,126.58
5,,DCA,BOS,0.18,Coach,287.825
6,,BOS,DCA,0.18,Coach,287.825
7,,PHL,AUS,0.65,Coach,359.325
8,,AUS,PHL,0.65,Coach,359.325
9,,BOS,AUS,0.77,Coach,222.325
10,,AUS,BOS,0.77,Coach,222.325
11,,PHL,AUS,0.65,Coach,412.32
12,,AUS,PHL,0.65,Coach,412.32
13,,PHL,IND,0.27,Coach,306.4
14,,IND,PHL,0.27,Coach,306.4
15,,PHL,AUS,0.65,Coach,206.16
16,,AUS,BOS,0.77,Coach,206.16
17,,BOS,DCA,0.18,Coach,226.565
18,,DCA,BOS,0.18,Coach,226.565
19,,BOS,DCA,0.18,Coach,226.565
20,,DCA,BOS,0.18,Coach,226.565
21,,BOS,EWR,0.09,Coach,126.58
22,,BWI,BOS,0.17,Coach,210.48
23,,BOS,BWI,0.17,Coach,210.48
24,,BOS,JFK,0.08,Coach,131.82
25,,JFK,BOS,0.08,Coach,131.82
26,,IAD,ATL,0.24,Coach,150.1
27,,ATL,AUS,0.37,Coach,150.1
28,,AUS,BWI,0.61,Coach,140.49
29,,BWI,AUS,0.61,Coach,463.98
30,,AUS,BWI,0.61,Coach,463.98
31,,DCA,BOS,0.18,Coach,118.4
32,,BOS,DCA,0.18,Coach,118.4
33,,DCA,BOS,0.18,Coach,122.33
34,,BOS,DCA,0.18,Coach,122.33
35,,DCA,BOS,0.18,Coach,122.33
36,,BOS,DCA,0.18,Coach,122.33
37,,EWR,BOS,0.09,Coach,117.4
38,,SFO,EWR,1.16,Coach,2168.4
39,,BOS,SFO,1.22,Coach,1634.32
40,,BOS,SFO,1.22,Coach,1268.2
41,,BOS,LAX,1.18,Coach,1010.8
42,,SFO,BOS,1.22,Coach,882
43,,BOS,SFO,1.22,Coach,862
44,,PHL,AUS,0.65,Coach,859
45,,PHL,AUS,0.65,Coach,753
46,,LHR,MAD,0.38,Coach,711
47,,YYZ,BOS,0.2,Coach,683
48,,PHL,IND,0.27,Coach,647
49,,BOS,PHX,1.04,Coach,627
50,,EWR,BOS,0.09,Coach,566
51,,LHR,MAD,0.38,Coach,544
52,,LGA,IAD,0.1,Coach,536
53,,LGA,BOS,0.08,Coach,521
54,,BOS,IAD,0.19,Coach,488
55,,MAD,LHR,0.38,Coach,484
56,,DCA,BOS,0.18,Coach,438
